04:bd:88:77:07:21 -76 w | -76 -76 -76 -76
04:bd:88:77:08:22 -83 w | -83 -83 -83 -83

4.00 6.00 18 2020-11-19-01:09:42
04:bd:88:77:08:20 -82 w | -82 -82 -82
04:bd:88:77:08:21 -81 w | -81 -81 -81
62:45:b6:ce:ac:21 -69 w | -69 -69 -69
04:bd:88:77:07:20 -80 w | -80 -80 -80
84:d4:7e:4a:d1:e2 -85 w | -85 -85 -85
04:bd:88:76:f6:e2 -86 w | -86 -86 -86
04:bd:88:76:f9:e0 -62 w | -62 -62 -62
04:bd:88:76:f9:f1 -66 w | -66 -66 -66
04:bd:88:76:f9:f0 -66 w | -66 -66 -66
04:bd:88:76:f9:e2 -66 w | -66 -66 -66
04:bd:88:76:f9:e1 -62 w | -62 -62 -62
04:bd:88:76:f9:f2 -66 w | -66 -66 -66
04:bd:88:76:f4:22 -87 w | -87 -87 -87
04:bd:88:76:f4:20 -88 w | -88 -88 -88
62:45:b7:78:a1:82 -55 w | -55 -55 -55
04:bd:88:77:07:22 -76 w | -76 -76 -76
04:bd:88:77:07:21 -76 w | -76 -76 -76
04:bd:88:77:08:22 -83 w | -83 -83 -83

5.00 7.00 21 2020-11-19-01:10:23
62:45:b6:ce:ac:21 -82 w | -82
04:bd:88:76:f6:e2 -89 w | -89
fa:8f:ca:61:cc:1e -84 w | -84
04:bd:88:76:f6:e0 -88 w | -88
04:bd:88:76:f9:e0 -60 w | -60
04:bd:88:76:f9:f1 -69 w | -69
04:bd:88:76:f9:f0 -69 w | -69
04:bd:88:76:f9:e2 -62 w | -62
04:bd:88:76:f9:e1 -60 w | -60
04:bd:88:76:f9:f2 -69 w | -69
04:bd:88:76:f4:22 -85 w | -85
04:bd:88:76:f4:21 -86 w | -86
04:bd:88:76:f4:32 -86 w | -86
04:bd:88:76:f4:20 -86 w | -86
04:bd:88:76:f4:31 -86 w | -86
04:bd:88:76:f4:30 -86 w | -86
18:64:72:29:09:c2 -88 w | -88
62:45:b7:78:a1:82 -74 w | -74
18:64:72:29:09:c1 -87 w | -87
04:bd:88:76:f5:82 -83 w | -83
04:bd:88:77:08:22 -89 w | -89

5.00 6.00 21 2020-11-19-01:10:38
62:45:b6:ce:ac:21 -82 w | -82 -82 -82
04:bd:88:76:f6:e2 -89 w | -89 -89 -89
fa:8f:ca:61:cc:1e -84 w | -84 -84 -84
04:bd:88:76:f6:e0 -88 w | -88 -88 -88
04:bd:88:76:f9:e0 -60 w | -60 -60 -60
04:bd:88:76:f9:f1 -69 w | -69 -69 -69
04:bd:88:76:f9:f0 -69 w | -69 -69 -69
04:bd:88:76:f9:e2 -62 w | -62 -62 -62
04:bd:88:76:f9:e1 -60 w | -60 -60 -60
04:bd:88:76:f9:f2 -69 w | -69 -69 -69
04:bd:88:76:f4:22 -85 w | -85 -85 -85
04:bd:88:76:f4:21 -86 w | -86 -86 -86
04:bd:88:76:f4:32 -86 w | -86 -86 -86
04:bd:88:76:f4:20 -86 w | -86 -86 -86
04:bd:88:76:f4:31 -86 w | -86 -86 -86
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -88 w | -88 -88 -88
62:45:b7:78:a1:82 -74 w | -74 -74 -74
18:64:72:29:09:c1 -87 w | -87 -87 -87
04:bd:88:76:f5:82 -83 w | -83 -83 -83
04:bd:88:77:08:22 -89 w | -89 -89 -89

5.00 1.00 21 2020-11-19-01:12:16
62:45:b6:ce:ac:21 -82 w | -82 -82
04:bd:88:76:f6:e2 -89 w | -89 -89
fa:8f:ca:61:cc:1e -84 w | -84 -84
04:bd:88:76:f6:e0 -88 w | -88 -88
04:bd:88:76:f9:e0 -60 w | -60 -60
04:bd:88:76:f9:f1 -69 w | -69 -69
04:bd:88:76:f9:f0 -69 w | -69 -69
04:bd:88:76:f9:e2 -62 w | -62 -62
04:bd:88:76:f9:e1 -60 w | -60 -60
04:bd:88:76:f9:f2 -69 w | -69 -69
04:bd:88:76:f4:22 -85 w | -85 -85
04:bd:88:76:f4:21 -86 w | -86 -86
04:bd:88:76:f4:32 -86 w | -86 -86
04:bd:88:76:f4:20 -86 w | -86 -86
04:bd:88:76:f4:31 -86 w | -86 -86
04:bd:88:76:f4:30 -86 w | -86 -86
18:64:72:29:09:c2 -88 w | -88 -88
62:45:b7:78:a1:82 -74 w | -74 -74
18:64:72:29:09:c1 -87 w | -87 -87
04:bd:88:76:f5:82 -83 w | -83 -83
04:bd:88:77:08:22 -89 w | -89 -89

5.00 2.00 25 2020-11-19-01:12:25
70:8b:cd:5e:4f:f0 -82 w | -82
04:bd:88:76:f4:c2 -87 w | -87
04:bd:88:76:f6:e2 -75 w | -75
04:bd:88:76:f9:e0 -43 w | -43
04:bd:88:76:f9:e2 -44 w | -44
04:bd:88:76:f9:e1 -43 w | -43
04:bd:88:76:f4:32 -85 w | -85
04:bd:88:76:f4:31 -85 w | -85
04:bd:88:76:f4:30 -84 w | -84
04:bd:88:76:f5:82 -66 w | -66
04:bd:88:76:f5:81 -73 w | -73
04:bd:88:76:f5:80 -73 w | -73
04:bd:88:76:f7:20 -85 w | -85
04:bd:88:76:f7:21 -84 w | -84
04:bd:88:76:f7:22 -83 w | -83
04:bd:88:76:f9:f1 -44 w | -44
04:bd:88:76:f9:f0 -44 w | -44
04:bd:88:76:f9:f2 -44 w | -44
04:bd:88:76:f4:22 -69 w | -69
04:bd:88:76:f4:21 -72 w | -72
98:e7:f4:45:9b:4a -85 w | -85
04:bd:88:76:f4:20 -72 w | -72
18:64:72:29:09:c0 -87 w | -87
18:64:72:29:09:c2 -85 w | -85
18:64:72:29:09:c1 -84 w | -84

4.00 1.00 25 2020-11-19-01:12:37
70:8b:cd:5e:4f:f0 -82 w | -82 -82 -82
