04:bd:88:76:f5:81 -75 w | -75 -75 -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75 -75 -75

2.00 5.00 19 2020-11-16-01:00:29
62:45:b6:ce:ac:21 -79 w | -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75

2.00 3.00 19 2020-11-16-01:00:41
62:45:b6:ce:ac:21 -79 w | -79 -79 -79
04:bd:88:76:f9:e0 -53 w | -53 -53 -53
04:bd:88:76:f9:f1 -57 w | -57 -57 -57
04:bd:88:76:f9:f0 -57 w | -57 -57 -57
84:d4:7e:4a:68:02 -89 w | -89 -89 -89
04:bd:88:76:f9:e2 -56 w | -56 -56 -56
04:bd:88:76:f9:e1 -53 w | -53 -53 -53
04:bd:88:76:f9:f2 -57 w | -57 -57 -57
04:bd:88:76:f4:22 -69 w | -69 -69 -69
04:bd:88:76:f4:21 -71 w | -71 -71 -71
04:bd:88:76:f4:32 -85 w | -85 -85 -85
04:bd:88:76:f4:20 -71 w | -71 -71 -71
04:bd:88:76:f4:31 -85 w | -85 -85 -85
04:bd:88:76:f4:30 -86 w | -86 -86 -86
18:64:72:29:09:c2 -90 w | -90 -90 -90
04:bd:88:77:07:22 -92 w | -92 -92 -92
04:bd:88:76:f5:82 -71 w | -71 -71 -71
04:bd:88:76:f5:81 -75 w | -75 -75 -75
04:bd:88:76:f5:80 -75 w | -75 -75 -75

3.00 4.00 16 2020-11-16-01:01:41
04:bd:88:77:08:20 -87 w | -87 -87
04:bd:88:77:08:21 -88 w | -88 -88
62:45:b6:ce:ac:21 -66 w | -66 -66
04:bd:88:76:f9:e0 -57 w | -57 -57
04:bd:88:76:f9:f1 -67 w | -67 -67
04:bd:88:76:f9:f0 -67 w | -67 -67
04:bd:88:76:f9:e2 -55 w | -55 -55
04:bd:88:76:f9:e1 -57 w | -57 -57
04:bd:88:76:f9:f2 -67 w | -67 -67
84:d4:7e:4a:4b:e2 -91 w | -91 -91
04:bd:88:76:f4:22 -85 w | -85 -85
04:bd:88:76:f4:21 -86 w | -86 -86
04:bd:88:76:f4:20 -87 w | -87 -87
04:bd:88:77:07:22 -90 w | -90 -90
04:bd:88:76:f5:81 -88 w | -88 -88
04:bd:88:76:f5:80 -86 w | -86 -86

2.00 1.00 16 2020-11-16-01:01:59
04:bd:88:77:08:20 -87 w | -87 -87 -87
04:bd:88:77:08:21 -88 w | -88 -88 -88
62:45:b6:ce:ac:21 -66 w | -66 -66 -66
04:bd:88:76:f9:e0 -57 w | -57 -57 -57
04:bd:88:76:f9:f1 -67 w | -67 -67 -67
04:bd:88:76:f9:f0 -67 w | -67 -67 -67
04:bd:88:76:f9:e2 -55 w | -55 -55 -55
04:bd:88:76:f9:e1 -57 w | -57 -57 -57
04:bd:88:76:f9:f2 -67 w | -67 -67 -67
84:d4:7e:4a:4b:e2 -91 w | -91 -91 -91
04:bd:88:76:f4:22 -85 w | -85 -85 -85
04:bd:88:76:f4:21 -86 w | -86 -86 -86
04:bd:88:76:f4:20 -87 w | -87 -87 -87
04:bd:88:77:07:22 -90 w | -90 -90 -90
04:bd:88:76:f5:81 -88 w | -88 -88 -88
04:bd:88:76:f5:80 -86 w | -86 -86 -86

3.00 1.00 16 2020-11-16-01:02:15
04:bd:88:77:08:20 -87 w | -87 -87 -87
04:bd:88:77:08:21 -88 w | -88 -88 -88
62:45:b6:ce:ac:21 -66 w | -66 -66 -66
04:bd:88:76:f9:e0 -57 w | -57 -57 -57
04:bd:88:76:f9:f1 -67 w | -67 -67 -67
04:bd:88:76:f9:f0 -67 w | -67 -67 -67
04:bd:88:76:f9:e2 -55 w | -55 -55 -55
04:bd:88:76:f9:e1 -57 w | -57 -57 -57
04:bd:88:76:f9:f2 -67 w | -67 -67 -67
84:d4:7e:4a:4b:e2 -91 w | -91 -91 -91
04:bd:88:76:f4:22 -85 w | -85 -85 -85
04:bd:88:76:f4:21 -86 w | -86 -86 -86
04:bd:88:76:f4:20 -87 w | -87 -87 -87
04:bd:88:77:07:22 -90 w | -90 -90 -90
04:bd:88:76:f5:81 -88 w | -88 -88 -88
04:bd:88:76:f5:80 -86 w | -86 -86 -86

